"movieId","userId","tag","timestamp"
3916,12882,"sports",1147195545
4085,12882,"Eddie Murphy",1147195966
33660,12882,"boxing",1147195514
1197,320,"must show",1145964801
1396,320,"must show",1145964810
2011,320,"must show",1145964858
2012,320,"must show",1145964915
2502,320,"must show",1145964798
2762,320,"twist",1145964832
2959,320,"twist",1145964658
3996,320,"overrated",1145964748
6016,320,"violent",1145964670
7438,320,"violent",1145964764
1136,121987,"Monty Python",1376495639
2115,121987,"Harrison Ford",1214180389
31878,121987,"piss your pants funny",1249049626
31878,121987,"Stephen Chow",1249049635
34405,121987,"Firefly",1339617678
59615,121987,"adventure",1240947104
59615,121987,"aliens",1214180445
59615,121987,"archaeology",1214180449
59615,121987,"indiana jones",1214180446
59615,121987,"plot point:solving riddles/puzzles",1240947110
79091,121987,"funny",1298155627
79091,121987,"mad scientist",1298156117
79091,121987,"minions",1298155516
88140,121987,"action",1314414563
88140,121987,"Bechdel Test:Fail",1314414555
88140,121987,"campy",1314414573
88140,121987,"comic book",1314414585
88140,121987,"superhero",1314414551
102445,121987,"based on a TV show",1373922679
102445,121987,"PG-13",1373922871
102445,121987,"space",1373922663
102445,121987,"Star Trek",1373922713
595,62046,"Disney",1315947294
595,62046,"Disney animated feature",1315947370
595,62046,"fairy tale",1315947362
595,62046,"heartwarming",1315947351
858,62046,"Al Pacino",1315949116
858,62046,"based on a book",1315949119
858,62046,"classic",1315949113
858,62046,"Mafia",1315949120
858,62046,"robert de niro",1315949129
1213,62046,"crime",1315949166
1213,62046,"dark comedy",1315949164
1213,62046,"gore",1315949168
1213,62046,"Martin Scorsese",1315949158
1213,62046,"Robert De Niro",1315949160
1213,62046,"Samuel L. Jackson",1315949154
1241,62046,"zombie",1315947967
1732,62046,"Coen Brothers",1315947652
1732,62046,"marijuana",1315947635
1921,62046,"mathematics",1315948532
1921,62046,"notable soundtrack",1315948537
2387,62046,"dark comedy",1315948922
2387,62046,"dark humor",1315948924
5265,62046,"Black Comedy",1315949015
5265,62046,"Catherine Keener",1315949018
5265,62046,"Danny DeVito",1315949013
5265,62046,"Edward Norton",1315948985
5265,62046,"Robin Williams",1315949007
71535,62046,"dark comedy",1315948797
71535,62046,"gore",1315948794
71535,62046,"IMDB Top 250",1315948819
71535,62046,"violence",1315948804
71535,62046,"zombies",1315948792
34405,18127,"movie mets projections: browncoats will fall in love",1141419213
34405,18127,"non-sci-fi types will flame it. What else is new.",1141419213
296,17318,"dark comedy",1206539656
296,17318,"good dialogue",1206539650
364,103754,"Elton John",1160604170
2959,69519,"dark comedy",1305248597
2959,69519,"Edward Norton",1305248606
2959,69519,"social commentary",1305248626
2232,124823,"sick",1206525105
10,115611,"007 movies are bad.",1359142828
32,115611,"bruce willis",1365639341
32,115611,"ending",1365639341
32,115611,"jeffrey",1365639341
32,115611,"music",1365639355
32,115611,"scenario",1365639341
47,115611,"actually the ending was obvius",1359252271
47,115611,"generally like the movie because of actors and crimes",1359252271
47,115611,"the morgan freeman leaving non-sense",1359252271
153,115611,"Actor's  and amateurism",1359143126
153,115611,"Jim Carrey",1359143126
296,115611,"conversations between vincent and jules",1360204518
296,115611,"Jules",1360204518
296,115611,"the part where bruce willis' story told.",1360204518
296,115611,"vincent",1360204518
393,115611,"everything is bad about this movie.",1359143189
527,115611,"liam neeson",1359169496
527,115611,"ralph fiennes' acting",1359169496
527,115611,"too slow",1359169496
541,115611,"atmosphere",1381721523
541,115611,"ending line",1381721523
541,115611,"slowness",1381721523
541,115611,"soundtrack",1381721523
541,115611,"the main character questionable",1381721523
541,115611,"unneseccary scenes",1381721523
555,115611,"christopher walken and dennis hopper scene",1365430444
555,115611,"ending.",1365430412
555,115611,"gary oldman's acting.",1365430444
555,115611,"genrally i dont like it",1365430412
608,115611,"acting",1365294056
608,115611,"last scene",1365294045
608,115611,"murders",1365294056
1466,115611,"al pacino",1383349926
1466,115611,"johnny depp",1383349926
1466,115611,"not sure about ending it was so sudden",1383350015
1466,115611,"reality on ending",1383350004
1466,115611,"some unnecessary family scenes",1383349926
1466,115611,"wise guys",1383349926
1918,115611,"enough with the  same ' lethal weapon' movies over and over again.",1359143237
3098,115611,"boring",1387243587
5364,115611,"everything else",1359143294
5364,115611,"Nudity (Topless)",1359143294
5364,115611,"sex scenes",1359143294
6870,115611,"i get angry sad and confused about ending but it was good.",1359684646
8985,115611,"this movie shouldn't have been filmed.",1359143050
51540,115611,"ending was good",1359265189
51540,115611,"generally like the movie",1359265189
51540,115611,"mark buffalo",1359265189
51540,115611,"not too bad but rdjr ' s character was got little under my expectations.",1359265189
68157,115611,"brad pitt's texas accent was just ridiculous",1359752955
68157,115611,"the film is all about raging jew revenge.",1359752955
68157,115611,"waltz's acting was ok.",1359752955
96079,115611,"1 v 1 with some other spy",1359086584
96079,115611,"boring",1359086336
96079,115611,"classic hollywood bullshit about bad guy talks too much when his about to shoot someone instead of just shoot him.",1359086555
96079,115611,"motorcycle chase",1359086584
96079,115611,"the way of presenting Turkey",1359086422
96079,115611,"they are always talking",1359086336
99114,115611,"first half of the movie",1359085866
99114,115611,"leonard DiCaprio's acting",1359085866
99114,115611,"opening song",1359085902
99114,115611,"songs",1359085798
99114,115611,"that hollywood blow everything up and one guy vs all  army thing.",1359085798
99114,115611,"waltz's character was same with his inglourious basterds character.",1359753061
14,8932,"Oliver Stone",1187220013
237,8932,"Debra Winger",1187219947
1179,8932,"Angelica Huston",1187219971
1244,8932,"Woody Allen",1187219983
2641,8932,"Christopher Reeve",1187220065
3785,8932,"silly fun",1187220048
5377,8932,"Hugh Grant",1187219889
5679,8932,"Naomi Watts",1187220029
6934,8932,"Keanu Reeves",1187219999
7147,8932,"Tim Burton",1187219906
296,48821,"crime",1420662742
296,48821,"intelligent",1420662742
296,48821,"non-linear",1420662742
338,48821,"Crowe",1137539928
4995,48821,"crowe",1140552332
41285,48821,"Scarlett Johansson",1208332228
364,54114,"animals",1423521808
364,54114,"disney",1423521808
364,54114,"lions",1423521808
46976,9745,"movie to sees",1184052552
111362,65155,"time travel",1426312840
17,68702,"Alan Rickman",1338686803
17,68702,"chick flick",1338686811
17,68702,"classic",1338686791
17,68702,"Hugh Grant",1338686800
17,68702,"Jane Austen",1338686784
17,68702,"Kate Winslet",1338686785
17,68702,"Period",1338686787
318,68702,"based on a book",1338686233
318,68702,"classic",1338686170
318,68702,"drama",1338686174
318,68702,"friendship",1338686176
318,68702,"heartwarming",1338686179
318,68702,"Morgan Freeman",1338686226
318,68702,"reflective",1338686183
318,68702,"sexuality",1338686197
318,68702,"Stephen King",1338686189
318,68702,"twist ending",1338686185
2762,68702,"Drama",1338686306
2762,68702,"ghosts",1338686321
2762,68702,"horror",1338686326
2762,68702,"psychological",1338686313
2762,68702,"stylized",1338686317
